model_name,model_path,bleu,rougeL,rouge1,rouge2,sari,avg_jaccard_train_output,error,model_name_old,Sweep ID,Origin Folder,Dataset,Model Size,Metric Type,metric_epoch,metric_loss,metric_rouge1,metric_rouge2,metric_rougeL,metric_rougeLsum,metric_sari,metric_step,config_architectures,config_d_model,config_name_or_path,config_num_heads,config_num_layers,train_eval_batch_size,train_learning_rate,train_lr_scheduler,train_num_epochs,train_optimizer,train_train_batch_size,train_weight_decay,model_path_normalized
,,,,,,,,,optuna_sweep_checkpoints_t5_large/run-3,2.0,,medical,t5-large,SARI,1.0,1.612282633781433,,,,,45.34526107209389,3825.0,['T5ForConditionalGeneration'],1024.0,,16.0,24.0,16.0,2.3778884956654867e-05,constant_with_warmup,2.0,adamw_torch,8.0,0.0039312088339567,D:\trained_models\optuna_sweep_checkpoints_t5_large\run-3
,,,,,,,,,optuna_sweep_checkpoints_t5_large/run-5,2.0,,medical,t5-large,SARI,2.0,1.5807485580444336,,,,,45.143932970216746,7650.0,['T5ForConditionalGeneration'],1024.0,,16.0,24.0,16.0,1.382524407271695e-05,constant_with_warmup,2.0,adamw_torch,8.0,0.0609689155028292,D:\trained_models\optuna_sweep_checkpoints_t5_large\run-5
,,,,,,,,,optuna_sweep_checkpoints_t5_large/run-0,2.0,,medical,t5-large,SARI,2.0,1.6541770696640017,,,,,45.08925823134984,7650.0,['T5ForConditionalGeneration'],1024.0,,16.0,24.0,16.0,1.0906266373191778e-05,cosine,2.0,adamw_torch,8.0,0.0221419617019509,D:\trained_models\optuna_sweep_checkpoints_t5_large\run-0
,,,,,,,,,optuna_sweep_checkpoints_t5_large/run-1,2.0,,medical,t5-large,SARI,2.0,1.6660484075546265,,,,,44.44926771819978,7650.0,['T5ForConditionalGeneration'],1024.0,,16.0,24.0,16.0,4.531303932050047e-06,constant_with_warmup,2.0,adamw_torch,8.0,0.0863399600101459,D:\trained_models\optuna_sweep_checkpoints_t5_large\run-1
,,,,,,,,,optuna_sweep_checkpoints_t5_large/run-2,2.0,,medical,t5-large,SARI,2.0,1.6960617303848269,,,,,44.08771954510608,7650.0,['T5ForConditionalGeneration'],1024.0,,16.0,24.0,16.0,6.332810499661614e-06,cosine,2.0,adamw_torch,8.0,0.0398993345198232,D:\trained_models\optuna_sweep_checkpoints_t5_large\run-2
,,,,,,,,,optuna_sweep_checkpoints_t5_small_pretrained_wikilarge/run-4,3.0,,medical,t5-small,SARI,4.0,2.2295565605163574,,,,,43.937242002488624,960.0,['T5ForConditionalGeneration'],512.0,,8.0,6.0,128.0,0.0003087545189866,constant_with_warmup,5.0,adamw_torch,128.0,0.0579603284206915,D:\trained_models\optuna_sweep_checkpoints_t5_small_pretrained_wikilarge\run-4
,,,,,,,,,optuna_sweep_checkpoints_t5_large/run-4,2.0,,medical,t5-large,SARI,1.0,1.826107382774353,,,,,43.85685450578868,3825.0,['T5ForConditionalGeneration'],1024.0,,16.0,24.0,16.0,1.0107165967564953e-06,linear,2.0,adamw_torch,8.0,0.0333239245470917,D:\trained_models\optuna_sweep_checkpoints_t5_large\run-4
,,,,,,,,,optuna_sweep_checkpoints/run-14,1.0,,medical,t5-base,SARI,1.0,2.0513505935668945,,,,,43.2043276535431,1913.0,['T5ForConditionalGeneration'],768.0,,12.0,12.0,16.0,0.0001505860464715,constant_with_warmup,3.0,adamw_torch,16.0,0.0412308136672664,D:\trained_models\optuna_sweep_checkpoints\run-14
,,,,,,,,,optuna_sweep_checkpoints/run-1,1.0,,medical,t5-base,SARI,1.0,1.9186716079711916,,,,,42.99535449054823,1913.0,['T5ForConditionalGeneration'],768.0,,12.0,12.0,16.0,2.0588587685665716e-05,cosine,6.0,adamw_torch,16.0,0.0991833506696941,D:\trained_models\optuna_sweep_checkpoints\run-1
,,,,,,,,,optuna_sweep_checkpoints/run-17,1.0,,medical,t5-base,SARI,4.99764705882353,2.277312994003296,,,,,42.61698282898968,9560.0,['T5ForConditionalGeneration'],768.0,,12.0,12.0,16.0,0.00013795652077,constant_with_warmup,5.0,adamw_torch,16.0,0.039744046312776,D:\trained_models\optuna_sweep_checkpoints\run-17
